name,address,city,lat,long,company,connector,power_supply,charging_speed,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
"מרום נווה שופרסל נדלן""",תרצה 19,רמת גן,32.07161092,34.82900977,EV-Edge,type 2,22.08,איטי,,
"מרום נווה שופרסל נדלן""",תרצה 19,רמת גן,32.07161092,34.82900977,EV-Edge,type 2,22.08,איטי,,
"מרום נווה שופרסל נדלן""",תרצה 19,רמת גן,32.07161092,34.82900977,EV-Edge,type 2,22.08,איטי,,
"רחובות החדשה שופרסל נדלן""",שדרות פנחס בן דוד קפרא 1,רחובות,31.88052035,34.81231131,EV-Edge,type 2,22.08,איטי,,
"רחובות החדשה שופרסל נדלן""",שדרות פנחס בן דוד קפרא 1,רחובות,31.88052035,34.81231131,EV-Edge,type 2,22.08,איטי,,
"רחובות החדשה שופרסל נדלן""",שדרות פנחס בן דוד קפרא 1,רחובות,31.88052035,34.81231131,EV-Edge,type 2,22.08,איטי,,
חניון מועצה אזורית זבולון,מועצה אזורית זבולון 1,מועצה אזורית זבולון,32.79315563,35.11708497,EV-Edge,type 2,22.08,איטי,,
בניין בוטנר הפקולטה לרפואה - האוניברסיטה העברית עין כרם (למורשים בלבד),בניין בוטנר הפקולטה לרפואה 1,ירושלים,31.76372,35.148666,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
